scenario_id,flags,instruction,constraints_present,fixture_entities,claude_verdict,claude_note,author_verdict(COVERED/CONFIRMED_GAP/AMBIGUOUS),author_note,split,cell,yaml_path,final
NLEB-ST-DE-031,duration_mention_without_duration_constraint,"On timeline 1, speed up the middle V1 clip to 1.5x. / Then shift the last audio clip on timeline 1 earlier to match the new timing.","[required] attribute_equals({""entity"": ""vc_2"", ""field"": ""speed"", ""value"": 1.5}) 
[required] attribute_changed({""entity"": ""ac_3"", ""field"": ""timeline_start"", ""direction"": ""decrease""})","V1: vc_1(0-10s), vc_2(10-25s), vc_3(25-40s) | A1: ac_1(0-10s), ac_2(10-25s), ac_3(25-40s) | Caption Track 1: cc_1(1-4s), cc_2(5-9s), cc_3(12-18s), cc_4(30-35s) | V1: vc_4(0-25s), vc_5(25-40s) | A1: ac_4(0-25s), ac_5(25-40s) | V1: vc_6(0-15s), vc_7(15-25s) | A1: ac_6(0-15s), ac_7(15-25s)",AMBIGUOUS,"shift the last audio clip earlier to match the new timing' — a precise shift (time saved by 1.5x) is derivable, but 'match the new timing' admits multiple readings; only attribute_changed(ac_3 timeline_start, decrease) present.",CONFIRMED_GAP,"From the prompt, speeding vc_2 to 1.5x takes its duration from 15 to 10 seconds, so the expectation seems to be vc_2 (10-20s) and vc_3 (20-35s), but there is no check on that. Also, if the ac_* clips were linked, a condition checking that they are transformed along with it is needed.",test,state/dependent,feasible/state/dependent/test/NLEB-ST-DE-031.yaml,
NLEB-ST-DE-040,duration_mention_without_duration_constraint,"On timeline 1, speed up the middle V1 clip to 2x. / Shift the clip after it on timeline 1 earlier to close the gap. / Also shift the last audio clip on timeline 1 earlier by the saved time.","[required] attribute_equals({""entity"": ""vc_2"", ""field"": ""speed"", ""value"": 2.0}) 
[required] attribute_changed({""entity"": ""vc_3"", ""field"": ""timeline_start"", ""direction"": ""decrease""}) 
[required] attribute_changed({""entity"": ""ac_3"", ""field"": ""timeline_start"", ""direction"": ""decrease""})","V1: vc_1(0-10s), vc_2(10-25s), vc_3(25-40s) | A1: ac_1(0-10s), ac_2(10-25s), ac_3(25-40s) | Caption Track 1: cc_1(1-4s), cc_2(5-9s), cc_3(12-18s), cc_4(30-35s) | V1: vc_4(0-25s), vc_5(25-40s) | A1: ac_4(0-25s), ac_5(25-40s) | V1: vc_6(0-15s), vc_7(15-25s) | A1: ac_6(0-15s), ac_7(15-25s)",CONFIRMED_GAP,"close the gap' and 'by the saved time' are normative exact shifts, fixture-derivable (2x speedup saves half of vc_2's duration); only attribute_changed direction-decrease on vc_3/ac_3 — magnitudes unchecked.",CONFIRMED_GAP,Same reasoning as above.,test,state/dependent,feasible/state/dependent/test/NLEB-ST-DE-040.yaml,
NLEB-DI-AT-009,spatial_position_without_position_constraint,One of the audio clips is stuck fully on the left — can you center it?,"[required] attribute_equals({""entity"": ""audio_clip_2"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] unchanged_except({""changed"": [""audio_clip_2""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"stuck fully on the left' describes fixture defect (pan=-1.0); the demand 'center it' is enforced by attribute_equals(audio_clip_2, audio.pan, 0.0). Covered.",COVERED,"I cannot tell whether the clip with the differing pan value is audio_clip_2, but if it is, I think the statement is right.",dev,diagnosis/atomic,feasible/diagnosis/atomic/dev/NLEB-DI-AT-009.yaml,
NLEB-DI-AT-023,spatial_position_without_position_constraint,One of the audio clips is fully panned to the right — can you center it?,"[required] attribute_equals({""entity"": ""audio_clip_2"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] unchanged_except({""changed"": [""audio_clip_2""]})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",COVERED,"fully panned to the right' is diagnostic context (fixture pan=1.0); 'center it' enforced by attribute_equals(audio_clip_2, audio.pan, 0.0). Covered.",COVERED,Same as NLEB-DI-AT-009.,test,diagnosis/atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-023.yaml,
NLEB-DI-AT-034,spatial_position_without_position_constraint,The first audio clip is stuck fully on the left — can you center it? / Now the BGM is way too quiet — bring it back to normal level.,"[required] attribute_equals({""entity"": ""audio_clip_1"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] attribute_equals({""entity"": ""audio_clip_4"", ""field"": ""audio.volume"", ""value"": 0.0}) 
[required] unchanged_except({""changed"": [""audio_clip_1"", ""audio_clip_4""]})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",COVERED,"stuck fully on the left' descriptive; 'center it' via attribute_equals(ac1, audio.pan, 0.0); 'back to normal level' via attribute_equals(ac4, audio.volume, 0.0). Covered.",COVERED,,test,diagnosis/atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-034.yaml,
NLEB-DI-CO-032,spatial_position_without_position_constraint,Every audio clip is panned off-center — each pushed to a different side — center all of them.,"[required] attribute_equals({""entity"": ""audio_clip_1"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] attribute_equals({""entity"": ""audio_clip_2"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] attribute_equals({""entity"": ""audio_clip_3"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] unchanged_except({""changed"": [""audio_clip_1"", ""audio_clip_2"", ""audio_clip_3""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"panned off-center...center all' — diagnostic description; enforced by attribute_equals(audio.pan, 0.0) on all three audio clips + unchanged_except. Covered.",COVERED,"Should audio_clip_4 be checked too? Still, since it is BGM, the intent may well exclude it, so I will mark this Covered.",test,diagnosis/compound,feasible/diagnosis/compound/test/NLEB-DI-CO-032.yaml,
NLEB-DI-CU-007,spatial_position_without_position_constraint,The first audio clip is stuck fully on the left — can you center it? / Now boost the longest audio clip by 2 dB — don't undo the pan fix.,"[required] attribute_equals({""entity"": ""audio_clip_1"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] attribute_changed({""entity"": ""audio_clip_4"", ""field"": ""audio.volume"", ""direction"": ""increase""}) 
[required] unchanged_except({""changed"": [""audio_clip_1"", ""audio_clip_4""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"stuck fully on the left' descriptive; 'center it' = attribute_equals(ac1, audio.pan, 0.0); 'longest audio clip' selection resolved to ac4 via attribute_changed(volume, increase). Covered.",CONFIRMED_GAP,No condition checks the 2 dB value exactly.,dev,diagnosis/cumulative,feasible/diagnosis/cumulative/dev/NLEB-DI-CU-007.yaml,
NLEB-DI-CU-025,spatial_position_without_position_constraint,The first audio clip is stuck fully on the left — can you center it? / Now boost the BGM by 2 dB. / And keep the pan fix from earlier intact.,"[required] attribute_equals({""entity"": ""audio_clip_1"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] attribute_changed({""entity"": ""audio_clip_4"", ""field"": ""audio.volume"", ""direction"": ""increase""}) 
[required] unchanged_except({""changed"": [""audio_clip_1"", ""audio_clip_4""]})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",COVERED,"stuck fully on the left — center it': attribute_equals(audio_clip_1, audio.pan, 0.0) enforces centering; 'fully on the left' is diagnostic context matching fixture pan=-1.0.",CONFIRMED_GAP,Same reason as NLEB-DI-CU-007.,test,diagnosis/cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-025.yaml,
NLEB-DI-DE-008,spatial_position_without_position_constraint,"The first audio clip is stuck fully on the left — center it, then boost its volume by 3 dB.","[required] attribute_equals({""entity"": ""audio_clip_1"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] attribute_changed({""entity"": ""audio_clip_1"", ""field"": ""audio.volume"", ""direction"": ""increase""}) 
[required] unchanged_except({""changed"": [""audio_clip_1""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"stuck fully on the left — center it': attribute_equals(audio_clip_1, audio.pan, 0.0) enforces the fix; left-pan phrase is diagnosis of fixture state (pan=-1.0), not extra demand.",CONFIRMED_GAP,Same reason as NLEB-DI-CU-007.,dev,diagnosis/dependent,feasible/diagnosis/dependent/dev/NLEB-DI-DE-008.yaml,
NLEB-DI-DE-014,spatial_position_without_position_constraint,"The BGM is fully panned to the right — center it, then drop its volume by 3 dB.","[required] attribute_equals({""entity"": ""audio_clip_4"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] attribute_changed({""entity"": ""audio_clip_4"", ""field"": ""audio.volume"", ""direction"": ""decrease""}) 
[required] unchanged_except({""changed"": [""audio_clip_4""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"fully panned to the right — center it': attribute_equals(audio_clip_4, audio.pan, 0.0) enforces centering; right-pan phrase describes fixture (pan=1.0).",CONFIRMED_GAP,Same reason as NLEB-DI-CU-007.,test,diagnosis/dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-014.yaml,
NLEB-DI-DE-028,spatial_position_without_position_constraint,"The second audio clip is panned hard left and too loud — center the pan first, then set its volume to -6 dB.","[required] attribute_equals({""entity"": ""audio_clip_2"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] attribute_equals({""entity"": ""audio_clip_2"", ""field"": ""audio.volume"", ""value"": -6.0}) 
[required] unchanged_except({""changed"": [""audio_clip_2""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"panned hard left — center the pan': attribute_equals(audio_clip_2, audio.pan, 0.0) enforces it; hard-left phrase describes fixture (pan=-0.9). Volume -6 dB also checked exactly.",COVERED,,test,diagnosis/dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-028.yaml,
NLEB-DI-DE-035,spatial_position_without_position_constraint,"The BGM is blown out loud and hard-panned left — bring the volume back to normal and center the pan, then add a fade-in and fade-out.","[required] attribute_equals({""entity"": ""audio_clip_4"", ""field"": ""audio.volume"", ""value"": 0.0}) 
[required] attribute_equals({""entity"": ""audio_clip_4"", ""field"": ""audio.pan"", ""value"": 0.0}) 
[required] has_effect({""entity"": ""audio_clip_4"", ""effect_type"": ""fade_in""}) 
[required] has_effect({""entity"": ""audio_clip_4"", ""effect_type"": ""fade_out""})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",COVERED,"hard-panned left ... center the pan': attribute_equals(audio_clip_4, audio.pan, 0.0) enforces it; 'back to normal' volume checked via attribute_equals(volume, 0.0).",COVERED,,test,diagnosis/dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-035.yaml,
NLEB-EX-CU-018,spatial_position_without_position_constraint,Remove caption_1. / Add a new caption 'Updated Title' at the same position. Keep the removal.,"[required] entity_not_exists({""entity"": ""caption_1""}) 
[required] entity_exists({""entity"": ""$new_caption_1""}) 
[required] attribute_equals({""entity"": ""$new_caption_1"", ""field"": ""text"", ""value"": ""Updated Title""}) 
[required] unchanged_except({""changed"": [""caption_1"", ""$new_caption_1""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,"at the same position' as removed caption_1 — fixture-derivable value, checkable via position_equals; only text + existence checked. Gap under both timeline/spatial readings.",CONFIRMED_GAP,It must also check that the start and end times match those of the existing clip.,test,explicit/cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-018.yaml,
NLEB-EX-CU-031,spatial_position_without_position_constraint,Unlink video_clip_3 from audio_clip_3. / Remove video_clip_3. Keep the unlink intact. / Add a caption 'Cut here' at the position where video_clip_3 was. Preserve prior.,"[required] not_linked({""entity"": ""audio_clip_3""}) 
[required] entity_not_exists({""entity"": ""video_clip_3""}) 
[required] entity_exists({""entity"": ""$new_caption_1""}) 
[required] attribute_equals({""entity"": ""$new_caption_1"", ""field"": ""text"", ""value"": ""Cut here""}) 
[required] unchanged_except({""changed"": [""video_clip_3"", ""audio_clip_3"", ""$new_caption_1""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,"caption at the position where video_clip_3 was' — fixture-derivable start time, checkable via position_equals; only text + existence checked. Gap.",CONFIRMED_GAP,A check on new_caption_1's start and end times is needed.,test,explicit/cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-031.yaml,
NLEB-EX-DE-019,spatial_position_without_position_constraint,Remove caption_1 and add a replacement caption 'Revised Title' at the same position.,"[required] entity_not_exists({""entity"": ""caption_1""}) 
[required] entity_exists({""entity"": ""$new_caption_1""}) 
[required] attribute_equals({""entity"": ""$new_caption_1"", ""field"": ""text"", ""value"": ""Revised Title""})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,at the same position' normative; caption_1 position fixture-derivable (simple_sequence); no position_equals on $new_caption_1 — only existence+text checked.,CONFIRMED_GAP,Same reason as NLEB-EX-CU-031.,test,explicit/dependent,feasible/explicit/dependent/test/NLEB-EX-DE-019.yaml,
NLEB-ST-AT-036,spatial_position_without_position_constraint,Import a media file called 'outro.mp4' into the bin. / Add a caption 'Credits' at the timeline position where the longest V1 clip ends. / Remove the shortest caption currently on the timeline.,"[required] entity_count_changed({""type"": ""media"", ""direction"": ""increase""}) 
[required] entity_count_changed({""type"": ""caption"", ""direction"": ""increase""}) 
[required] entity_exists({""entity"": ""$new_caption_1""}) 
[required] attribute_equals({""entity"": ""$new_caption_1"", ""field"": ""text"", ""value"": ""Credits""}) 
[required] entity_not_exists({""entity"": ""caption_1""})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",CONFIRMED_GAP,"caption at the timeline position where the longest V1 clip ends' normative, fixture-derivable (vc3 ends at 30s); text checked, position_equals(30s) missing.",AMBIGUOUS,"A condition is needed for which bin the media is added to. Checking only that media and caption counts both increase is not sufficient. A condition on the new caption's start time is needed. And how could one fix the shortest caption as the pre-existing one and delete it, without knowing how long the new caption will be?",test,state/atomic,feasible/state/atomic/test/NLEB-ST-AT-036.yaml,
NLEB-ST-CO-024,spatial_position_without_position_constraint,Remove the shortest caption and add a new caption 'Updated' at the same position. / Set the longest V1 clip's speed to 0.9x and opacity to 0.85.,"[required] entity_not_exists({""entity"": ""caption_1""}) 
[required] entity_count_changed({""type"": ""caption"", ""direction"": ""increase""}) 
[required] entity_exists({""entity"": ""$new_caption_1""}) 
[required] attribute_equals({""entity"": ""$new_caption_1"", ""field"": ""text"", ""value"": ""Updated""}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""speed"", ""value"": 0.9}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.opacity"", ""value"": 0.85})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",CONFIRMED_GAP,"add a new caption Updated at the same position' is normative; fixture-derivable (caption_1 pos in complex_sequence) via position_equals, but only existence+text checked on $new_caption_1.",CONFIRMED_GAP,A check on new_caption_1's start and end times is needed.,test,state/compound,feasible/state/compound/test/NLEB-ST-CO-024.yaml,
NLEB-ST-CU-020,spatial_position_without_position_constraint,Speed up the longest video clip to 1.25x. / Now mute the audio that plays while it plays. / Then add a caption 'Highlight' at the timeline position where it starts.,"[required] attribute_equals({""entity"": ""video_clip_2"", ""field"": ""speed"", ""value"": 1.25}) 
[required] attribute_equals({""entity"": ""audio_clip_2"", ""field"": ""audio.muted"", ""value"": true}) 
[required] entity_count_changed({""type"": ""caption"", ""direction"": ""increase""}) 
[required] entity_exists({""entity"": ""$new_caption_1""}) 
[required] attribute_equals({""entity"": ""$new_caption_1"", ""field"": ""text"", ""value"": ""Highlight""})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,"caption Highlight at the timeline position where it starts' normative, fixture-derivable (vc2 starts at 5s); no position_equals on $new_caption_1, only existence+text.",CONFIRMED_GAP,"If the video goes to 1.5x, its duration must become 2/3. A condition on the clip's end time to match is needed. A condition on the caption increase alone is not sufficient. A condition on the new caption's start time is needed.",test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-020.yaml,
NLEB-ST-CU-039,spatial_position_without_position_constraint,"On timeline 1, find the video clip that starts earliest and reduce its opacity to 0.8. / Next, find the video clip that starts latest and mute the audio that plays with it. / Now add a caption 'End' at the position of the latest-starting clip. / Preserve earlier changes.","[required] attribute_equals({""entity"": ""vc_1"", ""field"": ""transform.opacity"", ""value"": 0.8}) 
[required] attribute_equals({""entity"": ""ac_3"", ""field"": ""audio.muted"", ""value"": true}) 
[required] entity_count_changed({""type"": ""caption"", ""direction"": ""increase""}) 
[required] entity_exists({""entity"": ""$new_caption_1""}) 
[required] attribute_equals({""entity"": ""$new_caption_1"", ""field"": ""text"", ""value"": ""End""}) 
[required] unchanged_except({""changed"": [""vc_1"", ""ac_3"", ""$new_caption_1""]})","V1: vc_1(0-10s), vc_2(10-25s), vc_3(25-40s) | A1: ac_1(0-10s), ac_2(10-25s), ac_3(25-40s) | Caption Track 1: cc_1(1-4s), cc_2(5-9s), cc_3(12-18s), cc_4(30-35s) | V1: vc_4(0-25s), vc_5(25-40s) | A1: ac_4(0-25s), ac_5(25-40s) | V1: vc_6(0-15s), vc_7(15-25s) | A1: ac_6(0-15s), ac_7(15-25s)",CONFIRMED_GAP,"caption End at the position of the latest-starting clip' normative, fixture-derivable (vc_3 start); no position_equals on $new_caption_1, only existence+text+count.",CONFIRMED_GAP,"The count condition on the new caption is insufficient, and there is no condition on timing.",test,state/cumulative,feasible/state/cumulative/test/NLEB-ST-CU-039.yaml,
NLEB-CX-AT-004,split_position_without_position_constraint,The hero shot needs to be split at the halfway mark — there's a natural cut point there.,"[required] entity_exists({""entity"": ""$new_clip_1""}) 
[required] entity_count_changed({""type"": ""clip"", ""direction"": ""increase""})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",CONFIRMED_GAP,split at the halfway mark' normative; fixture-derivable (vc3 length known) but only entity_exists+entity_count_changed present; no position_equals/duration_equals on split point.,AMBIGUOUS,"Not knowing which clip is the hero shot, I cannot tell what is to be cut in half. Should this really be a clarify scenario? Even once the hero shot is identified, it should check by timing and entity id that the original clip is deleted and two new half clips are created.",dev,context/atomic,feasible/context/atomic/dev/NLEB-CX-AT-004.yaml,
NLEB-DI-DE-025,split_position_without_position_constraint,"The first audio clip is blown out loud — bring the volume back to normal, then split it at its midpoint to isolate the problem section.","[required] attribute_changed({""entity"": ""audio_clip_1"", ""field"": ""audio.volume"", ""direction"": ""decrease""}) 
[required] entity_count_changed({""type"": ""audio_clip"", ""direction"": ""increase""})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,split it at its midpoint' is normative; only entity_count_changed(increase) checked — no position/duration check on split point. Midpoint fixture-derivable; position_equals/duration_equals usable.,CONFIRMED_GAP,"If volume is to go ""back to normal"", does that not mean setting the volume effect to 0? And splitting a clip in half should be handled like the previous scenario, but with a condition checking that effects applied to the original clip remain on both halves afterwards.",test,diagnosis/dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-025.yaml,
NLEB-EX-CU-027,split_position_without_position_constraint,Split video_clip_3 at the midpoint. / Add a cross-dissolve transition between the two halves. Keep the split.,"[required] entity_exists({""entity"": ""$new_clip_1""}) 
[required] entity_exists({""entity"": ""$new_transition_1""}) 
[required] unchanged_except({""changed"": [""video_clip_3"", ""$new_clip_1"", ""$new_transition_1""]})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",CONFIRMED_GAP,"Split video_clip_3 at the midpoint' — fixture-derivable (clip length known), checkable via duration_equals/position_equals; only existence of split+transition checked.",CONFIRMED_GAP,No check on the time at which it is split in half. No condition on which two clips the transition is applied between. (Probably it should also check that the two clips are adjacent.),test,explicit/cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-027.yaml,
NLEB-EX-DE-010,split_position_without_position_constraint,Split video_clip_3 at the midpoint. / Add a saturation effect to the second half. / Insert a cross-dissolve transition between the two halves.,"[required] entity_exists({""entity"": ""$new_clip_1""}) 
[required] has_effect({""entity"": ""$new_clip_1"", ""effect_type"": ""saturation""}) 
[required] entity_exists({""entity"": ""$new_transition_1""})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",CONFIRMED_GAP,"at the midpoint' normative, fixture-derivable (complex_sequence vc3); only entity_exists/has_effect/transition present, no position_equals/duration_equals on halves.",CONFIRMED_GAP,"Same reason as NLEB-EX-CU-027. There is no condition checking between which two clips the transition is added, or which transition it is.",dev,explicit/dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-010.yaml,
NLEB-ST-AT-003,split_position_without_position_constraint,Split the longest video clip on the timeline at its midpoint.,"[required] entity_count_changed({""type"": ""video_clip"", ""direction"": ""increase""}) 
[required] unchanged_except({""changed"": [""video_clip_2"", ""$new_video_clip_1""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,"at its midpoint' normative, fixture-derivable (notes: vc2 span 5-15, split at 10); only entity_count_changed+unchanged_except; no duration/position check on halves.",CONFIRMED_GAP,A condition on the increase in clip count is not sufficient. There is no condition on the new clip. There is no condition on each clip's timing.,dev,state/atomic,feasible/state/atomic/dev/NLEB-ST-AT-003.yaml,
NLEB-ST-AT-009,split_position_without_position_constraint,Split the longest video clip on V1 at its midpoint. / Remove the shorter caption from the timeline. / Lower the BGM volume by 3 dB.,"[required] entity_count_changed({""type"": ""video_clip"", ""direction"": ""increase""}) 
[required] entity_not_exists({""entity"": ""caption_1""}) 
[required] attribute_changed({""entity"": ""audio_clip_4"", ""field"": ""audio.volume"", ""direction"": ""decrease""})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",CONFIRMED_GAP,"Split ... at its midpoint' normative, fixture-derivable (longest V1=vc3); only entity_count_changed(increase) for the split; midpoint unverified by any predicate.",AMBIGUOUS,[adjudicated in an author review session; verdict recorded outside this sheet],dev,state/atomic,feasible/state/atomic/dev/NLEB-ST-AT-009.yaml,
NLEB-ST-AT-014,split_position_without_position_constraint,Split the shortest audio clip on track 1 at its midpoint.,"[required] entity_count_changed({""type"": ""audio_clip"", ""direction"": ""increase""})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,"at its midpoint' normative, fixture-derivable (ac1, 5s); only entity_count_changed(audio_clip,increase); midpoint position/duration of halves unchecked.",CONFIRMED_GAP,[adjudicated in an author review session; verdict recorded outside this sheet],test,state/atomic,feasible/state/atomic/test/NLEB-ST-AT-014.yaml,
NLEB-ST-AT-027,split_position_without_position_constraint,Set the longest video's rotation to 3 degrees. / Split the shortest audio clip on track 1 at its midpoint.,"[required] attribute_equals({""entity"": ""video_clip_2"", ""field"": ""transform.rotation"", ""value"": 3.0}) 
[required] entity_count_changed({""type"": ""audio_clip"", ""direction"": ""increase""})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,"at its midpoint' normative, fixture-derivable (shortest track-1 audio=ac1); split only checked via entity_count_changed(increase); midpoint unverified.",CONFIRMED_GAP,[adjudicated in an author review session; verdict recorded outside this sheet],test,state/atomic,feasible/state/atomic/test/NLEB-ST-AT-027.yaml,
